LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION_DATE
-109.0381908,31.9293738,1,4326,1/1/2018
-110.1408997,31.5478992,1,4326,1/3/2018
-110.1408997,31.5478992,1,4326,1/3/2018
-98.157516,26.1606244,1,4326,1/4/2018
-99.3088317,25.7252587,1,4326,1/5/2018
-110.2259595,31.4107349,1,4326,1/5/2018
-106.3146199,29.6454994,1,4326,1/6/2018
-100.6929696,24.9869624,1,4326,1/6/2018
-97.3425493,26.2163251,1,4326,1/6/2018
-97.3425493,26.2163251,1,4326,1/6/2018
-97.3425493,26.2163251,1,4326,1/6/2018
-102.8997153,31.5791274,1,4326,1/6/2018
-102.8997153,31.5791274,1,4326,1/6/2018
-102.3000526,28.37188,1,4326,1/7/2018
-99.1474915,26.5839986,1,4326,1/7/2018
-97.4183462,26.0057269,1,4326,1/8/2018
-97.4183462,26.0057269,1,4326,1/8/2018
-98.0164897,26.4607092,1,4326,1/9/2018
-99.1162062,26.5148584,1,4326,1/10/2018
-99.1162062,26.5148584,1,4326,1/10/2018
-99.1162062,26.5148584,1,4326,1/10/2018
-98.6541108,26.8063143,1,4326,1/11/2018
-98.6541108,26.8063143,1,4326,1/11/2018
-99.9928508,26.8532842,1,4326,1/12/2018
-97.4183462,26.0057269,1,4326,1/12/2018
-111.0442257,27.9824263,1,4326,1/13/2018
-104.272316,32.372343,1,4326,1/13/2018
-98.2705593,28.4551468,1,4326,1/13/2018
-98.2705593,28.4551468,1,4326,1/13/2018
-98.2705593,28.4551468,1,4326,1/13/2018
-99.6153921,27.6443818,1,4326,1/13/2018
-111.8194699,33.9662846,1,4326,1/14/2018
-105.8299255,31.8256952,1,4326,1/14/2018
-110.8444118,31.4630057,1,4326,1/15/2018
-110.826838,31.465069,1,4326,1/15/2018
-108.4281934,30.83902,1,4326,1/16/2018
-105.1181098,26.2869586,1,4326,1/16/2018
-98.2000789,28.4699128,1,4326,1/17/2018
-110.8486116,31.4709536,1,4326,1/18/2018
-105.2806091,21.6070037,1,4326,1/19/2018
-110.8507419,31.4556976,1,4326,1/19/2018
-103.8373661,30.5380904,1,4326,1/19/2018
-103.8373661,30.5380904,1,4326,1/19/2018
-104.032781,30.311919,1,4326,1/19/2018
-107.16573,32.3843708,1,4326,1/20/2018
-98.0530643,26.4751445,1,4326,1/20/2018
-98.3378935,26.1922196,1,4326,1/20/2018
-103.9113522,30.8057728,1,4326,1/20/2018
-100.5033213,31.4677918,1,4326,1/20/2018
-101.3425791,29.7124882,1,4326,1/20/2018
-99.140091,27.637253,1,4326,1/20/2018
-101.3185787,29.6935703,1,4326,1/21/2018
-97.9930258,29.228543,1,4326,1/21/2018
-107.0105575,28.7732328,1,4326,1/22/2018
-99.4412898,27.5338322,1,4326,1/22/2018
-98.0463192,26.5127827,1,4326,1/23/2018
-98.0442023,26.5267654,1,4326,1/23/2018
-109.092645,31.7891233,1,4326,1/24/2018
-107.30381,32.899925,1,4326,1/24/2018
-110.1408997,31.5478992,1,4326,1/26/2018
-103.2272387,32.4652364,1,4326,1/26/2018
-105.380795,26.3090349,1,4326,1/27/2018
-97.400558,26.0436881,1,4326,1/27/2018
-97.3143947,26.120398,1,4326,1/27/2018
-97.3143947,26.120398,1,4326,1/27/2018
-97.400558,26.0436881,1,4326,1/27/2018
-110.5902417,31.7141517,1,4326,1/28/2018
-110.5902417,31.7141517,1,4326,1/28/2018
-110.5902417,31.7141517,1,4326,1/28/2018
-110.5902417,31.7141517,1,4326,1/28/2018
-98.048444,26.50132,1,4326,1/28/2018
-100.931139,32.3289899,1,4326,1/28/2018
-101.9280394,31.1349589,1,4326,1/28/2018
-109.7200191,31.5614979,1,4326,1/29/2018
-109.7200191,31.5614979,1,4326,1/29/2018
