LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION DATE
-99.1474915,26.5839986,1,4326,3/5/1979
-97.3647237,26.234302,1,4326,3/6/1979
-101.3887067,27.7943948,1,4326,3/11/1979
-101.1827319,27.5953823,1,4326,3/11/1979
-102.2793329,27.1921546,1,4326,3/12/1979
-105.2891811,29.3332715,1,4326,3/14/1979
-99.4784546,31.5510378,1,4326,4/1/1979
-99.1653442,26.5495297,1,4326,4/13/1979
-99.1371059,26.5301796,1,4326,4/14/1979
-99.7121051,29.4950424,1,4326,4/15/1979
-101.6727483,30.6780349,1,4326,5/13/1979
-101.6727483,30.6780349,1,4326,5/13/1979
-98.0502319,31.1043913,1,4326,6/16/1979
-109.0286636,31.8368785,1,4326,7/11/1979
-97.3515916,26.2112414,1,4326,7/18/1979
-110.2006388,31.493164,1,4326,7/21/1979
-104.4710999,32.1091003,1,4326,8/2/1979
-110.3644028,31.4596996,1,4326,8/21/1979
-110.8863696,31.7835694,1,4326,8/23/1979
-97.7505112,30.3294719,1,4326,10/22/1979
-97.8387451,30.3316943,1,4326,11/18/1979
-98.3796179,26.1838822,1,4326,12/1/1979
-97.3515916,26.2112414,1,4326,12/2/1979
-100.43737,31.46376,1,4326,12/22/1979
-99.1368484,26.5630421,1,4326,12/28/1979
-99.4444013,27.0446212,1,4326,12/28/1979
-106.0467612,31.9214283,1,4326,12/30/1979
-99.1368484,26.5630421,1,4326,1/18/1980
-103.0956767,31.5772736,1,4326,1/18/1980
-99.1565681,26.5340383,1,4326,2/17/1980
-98.1812954,26.1552839,1,4326,2/18/1980
-99.1661596,26.5498192,1,4326,2/23/1980
-99.1661596,26.5498192,1,4326,2/23/1980
-99.1368484,26.5630421,1,4326,2/23/1980
-98.1351399,26.0813003,1,4326,2/24/1980
-98.1351399,26.0813003,1,4326,2/24/1980
-98.1351399,26.0813003,1,4326,2/24/1980
-106.4491865,32.6962351,1,4326,3/24/1980
-99.1615982,26.5575008,1,4326,3/26/1980
-100.5592775,34.7537265,1,4326,4/16/1980
-97.8555253,27.4774824,1,4326,4/25/1980
-97.7402487,30.2741448,1,4326,4/25/1980
-101.20039,30.71017,1,4326,5/2/1980
-97.4011999,26.2559096,1,4326,5/6/1980
-103.0956767,31.5772736,1,4326,5/13/1980
-103.0956767,31.5772736,1,4326,5/14/1980
-103.0956767,31.5772736,1,4326,5/15/1980
-103.0956767,31.5772736,1,4326,5/16/1980
-101.671257,34.9651086,1,4326,5/17/1980
-103.0956767,31.5772736,1,4326,5/17/1980
-102.5083829,35.2592503,1,4326,5/21/1980
-97.3425493,26.2163251,1,4326,5/25/1980
-103.0827943,37.1437472,1,4326,5/26/1980
-110.8873272,31.769332,1,4326,5/28/1980
-99.1322021,30.0014992,1,4326,6/6/1980
-98.0502319,31.1043913,1,4326,6/7/1980
-96.7919755,28.249891,1,4326,6/9/1980
-97.3647237,26.234302,1,4326,6/24/1980
-104.6835098,38.6187096,1,4326,6/30/1980
-110.8873272,31.769332,1,4326,7/12/1980
-103.7701178,37.8183954,1,4326,7/15/1980
-110.5078697,32.8630789,1,4326,7/20/1980
-110.5078697,32.8630789,1,4326,7/20/1980
-110.5078697,32.8630789,1,4326,7/20/1980
-99.4351101,31.5188861,1,4326,7/20/1980
-99.458499,31.5420043,1,4326,7/20/1980
-99.4583702,31.5279584,1,4326,7/20/1980
-99.374814,31.4884433,1,4326,7/20/1980
-99.4157553,31.4841614,1,4326,7/20/1980
-99.4158411,31.4921028,1,4326,7/20/1980
-99.4263124,31.5189592,1,4326,7/20/1980
-99.2895842,31.4925053,1,4326,7/20/1980
-99.4409466,31.5198007,1,4326,7/20/1980
-99.4583702,31.5358229,1,4326,7/20/1980
-99.4157553,31.4988359,1,4326,7/20/1980
-99.3749428,31.4955792,1,4326,7/20/1980
